ISIN,Asset Class,Sub Asset Class,Sub Asset Class (PowerPoint),Benchmark,Fund Name,Fund Type,Geographic Focus,Legal Structure,Domicile,Domicle Code,Launch Date,Currency,Fund Company,Portfolio Manager,Custodian,Minimum Initial Investment,Minimum Regular Investment,Minimum Irregular Investment,Income Distribution Indicator,Ex Dividend Date,Dividend Payment,Number Of Dividend Payment Per Year,Objective,Minimum Initial Charge,Maximum Initial Charge,Current Initial Charge,Minimum Annual Charge,Maximum Annual Charge,Current Annual Charge,Minimum Redemption Charge,Maximum Redemption Charge,Current Redemption Charge,Classification Scheme Name,Classification Sector Scheme,Cross Reference ID Type,Identifier Type,Total Expense Ratio,Total Expense Ratio Date,Projected Yield,Benchmark Type,Benchmark Name,Benchmark Instrument Code,Benchmark Instrument RIC,NAV,Is NAV Estimated Flag,Bid,Is Bid Estimated Flag,Mid,Is Mid Estimated Flag,Offer,Is Offer Estimated Flag,Total Net Assets
LU0169518387,Equity,Asia Ex-Japan,ASIA EX JAPAN, MSCI AC Asia Ex JPN NR,JPM Asia Growth A Acc USD,Equity,Asia (ex-Japan),LU - SICAV - Part 1,Luxembourg,LUX,11/9/2005,USDollar,JPMorgan Asset Management (Europe) SARL,"Joanna Kwok, Mark Davids",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,,,,"To provide long term capital growth by investing primarily in a concentrated portfolio of growth biased companies in Asia (excluding Japan). At least 67% of assets invested in a portfolio of growth biased equities of companies that are domiciled, or carrying out the main part of their economic activity, in an Asian country (excluding Japan), including emerging markets. The Sub-Fund will invest in approximately 40-60 companies and may invest in small capitalisation companies.",,5,5,,1.5,1.5,,0.5,0.5,Lipper Global,Equity Asia Pacific ex Japan,ISIN Code,LU0169518387,1.78,6/30/2020,,AssetManager,MSCI AC Asia ex Japan NR USD,11014608,.dMIAX00000NUS,46.29,0,46.06,0,,,48.6,0,318834902.5
LU1311310541,Equity,Asia Ex-Japan,ASIA EX JAPAN, MSCI AC Asia Ex JPN NR,Matthews Asia ex Jap Dividend A Acc USD,Equity,Asia (ex-Japan),LU - SICAV - Part 1,Luxembourg,LUX,11/30/2015,USDollar,Carne Global Fund Managers Luxembourg SA,"Yu Zhang, Zhang Sherwood, S. Joyce Li, Robert J. Horrocks",Brown Brothers Harriman (Luxembourg) SCA,1000,,100,Retained,,,,"The Sub-Funds investment objective is to seek total return with an emphasis on providing current income. Under normal market conditions, the Sub-Fund invests, directly or indirectly, primarily (i.e., at least 65% of its total net assets) in income-paying publicly traded common stocks, preferred stocks, convertible preferred stocks and other equity-related instruments (including, for example, investment trusts and other financial instruments) of companies Located in or with Substantial Ties to the Asia ex Japan region.",,5.26,,,1.25,1.25,,,0,Lipper Global,Equity Asia Pacific ex Japan,ISIN Code,LU1311310541,1.8,2/8/2021,,AssetManager,MSCI AC Asia ex Japan TR USD,11003330,.dMIAX00000GUS,25.05,0,,,,,,,14994700
IE00B5L8K969,Equity,Asia Ex-Japan,ASIA EX JAPAN, MSCI AC Asia Ex JPN NR,iShares MSCI EM Asia UCITS ETF USD (Acc),Equity,Asia (ex-Japan),ICVC,Ireland,IRL,8/6/2010,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to deliver the performance of the Benchmark Index (being the MSCI EM Asia Index Net USD), less the fees and expenses of the Fund. The Index measures the performance of large and mid capitalisation stocks of certain emerging markets countries in Asia which comply with MSCI's size, liquidity, and free-float criteria.",,,,,,,,,,Lipper Global,Equity Emerging Mkts Asia,ISIN Code,IE00B5L8K969,0.2,4/1/2021,,AssetManager,MSCI EM Asia NR USD,11015104,.dMIMS00000NUS,193.9441,1,,,,,,,1629884184
LU0096258446,Fixed Income,Sovereign & Agency,USD GOVERNMENT BOND, FTSE US GBI,BGF US Government Mortgage A2 USD,Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,6/24/1999,USDollar,BlackRock (Luxembourg) SA,"A. Dickstein, M. Kraeger & B. Miller",Bank of New York Mellon SA/NV (Luxembourg Branch),5000,,1000,Retained,,,,"The Fund seeks a high level of income. It invests at least 80% of its total assets in fixed income transferable securities issued or guaranteed by the United States Government, its agencies or instrumentalities, including Government National Mortgage Association (""GNMA"") mortgage-backed certificates and other US Government securities representing ownership interests in mortgage pools, such as mortgage-backed securities issued by Fannie Mae and Freddie Mac. All securities in which the Fund invests are US dollar-denominated securities.",,5,5,,2.25,0.75,,,0,Lipper Global,Bond USD Government,ISIN Code,LU0096258446,1.02,1/31/2021,,AssetManager,FTSE USBIG Mortgage Index,11037554,,20.86,0,,,,,,,38148737.09
LU0219442547,Fixed Income,Sovereign & Agency,USD GOVERNMENT BOND, FTSE US GBI,MFS Meridian Funds-US Government Bond A1 USD,Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,9/26/2005,USDollar,MFS Investment Management Company Lux SARL,"Geoffrey Schechter, Jake Stone",State Street Bank International GmbH (Luxembourg Branch),1,,,Retained,,,,"The Fund invests primarily (at least 70%) in U.S. government securities, including mortgage-backed securities. The Fund may also invest in other debt instruments. The fund invests substantially all of its assets in investment grade debt instruments. The Investment Manager may consider environmental, social and governance (ESG) factors in its fundamental investment analysis alongside other factors.",,6,,,,0.5,,,0,Lipper Global,Bond USD Mortgages,ISIN Code,LU0219442547,0.99,9/18/2020,,AssetManager,Bloomberg Barclays U.S. Government Mortgage TR,11029670,,19.03,1,,,,,,,121995600
LU0543330301,Fixed Income,Sovereign & Agency,USD GOVERNMENT BOND, FTSE US GBI,Franklin US Government A (acc) USD,Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,9/30/2010,USDollar,Franklin Templeton International Services SARL,"Neil Dhruv, Paul Varunok",JP Morgan Bank Luxembourg SA,5000,,1000,Retained,,,,"The Fund's investment objective is income and safety of principal. The Fund seeks to achieve its objective by investing in debt obligations issued or guaranteed by the US government and its agencies, including purchasing mortgage- and asset-backed securities. The base currency of the Fund is US dollar.",,5,,,,0.65,0,1,,Lipper Global,Bond USD Mortgages,ISIN Code,LU0543330301,1.28,1/31/2021,,AssetManager,Bloomberg Barclays U.S. Govt Bond Intermediate TR,11025578,,11.68,1,,,,,,,152116000
IE00B3VWN518,Fixed Income,Sovereign & Agency,USD GOVERNMENT BOND, FTSE US GBI,iShares $ Treasury Bond 7-10yr UCITS ETF USD (Acc),Bond,United States of America,ICVC,Ireland,IRL,6/3/2009,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to replicate the performance of the Benchmark Index (being the ICE U.S. Treasury 7-10 Year Bond Index), less the fees and expenses of the Fund. The Index measures the performance of US Dollar denominated fixed rate US Treasury bonds that have a remaining maturity of between seven and ten years.",,,,,,,,,,Lipper Global,Bond USD Government,ISIN Code,IE00B3VWN518,0.07,2/3/2021,,AssetManager,ICE U.S. Treasury 7-10 Year TR USD,11055630,.IDCOT7TR,165.7207,1,,,,,,,801820070.4
IE00BF1ZBY94,Cash & Cash Equivalent,Cash & Cash Equivalent,USD   SHORT TERM ,BBgBarc US Aggregate 1-3 Yr TR,Thornburg Limited Term Income A USD Acc,Bond,United States of America,OEIC - authorised,Ireland,IRL,5/3/2017,USDollar,Thornburg Investment Management Inc,Lon Erickson,State Street Custodial Services (Ireland) Ltd,1000,,,Retained,,,,"The Fund seeks to achieve its objective through investing (under normal market conditions) at least 65% of its NAV in (i) obligations of the US government, its agencies and instrumentalities and (ii) A or Above Debt Securities. The Fund may also invest up to 35% of its NAV in BBB or Baa Debt Securities if such instruments are consistent with the Funds objective. The Fund typically expects to maintain an average maturity of less than 5 years.",,5,,,,0.9,,,0,Lipper Global,Bond USD Government,ISIN Code,IE00BF1ZBY94,1.35,2/18/2021,,AssetManager,Index is not provided by Management Company,11000006,,11.13,1,,,,,,,87409937.68
LU0219442893,Cash & Cash Equivalent,Cash & Cash Equivalent,USD   SHORT TERM ,BBgBarc US Aggregate 1-3 Yr TR,MFS Meridian Funds-Limited Maturity A1 USD,Bond,Global,LU - SICAV - Part 1,Luxembourg,LUX,9/26/2005,USDollar,MFS Investment Management Company Lux SARL,"Philipp Burgener, Alexander Mackey",State Street Bank International GmbH (Luxembourg Branch),1,,,Retained,,,,"The Fund invests primarily in debt instruments issued in U.S. dollars, including U.S. and non-U.S. corporate, government, and mortgage-backed securities and securitized instruments. The Fund invests substantially all of its assets in investment grade debt instruments. The Investment Manager may consider ESG factors in its fundamental investment analysis alongside other factors.",,6,,,,0.6,,,0,Lipper Global,Bond USD Medium Term,ISIN Code,LU0219442893,1.14,9/18/2020,,AssetManager,Bloomberg Barclays 1-3 Y Government/Credit TR,11026081,,15.47,1,,,,,,,482295400
IE0004858563,Cash & Cash Equivalent,Cash & Cash Equivalent,USD   SHORT TERM ,BBgBarc US Aggregate 1-3 Yr TR,Janus Henderson US Short-Term Bd A2 USD,Bond,United States of America,ICVC,Ireland,IRL,12/24/1998,USDollar,Henderson Management SA,"Darrell Watters, Mayur Saigal",JP Morgan Bank (Ireland) plc,2500,,100,Retained,,,,"The investment objective of the fund is to seek as high a level of current income as is consistent with preservation of capital.The Fund invests at least 80% of its assets in US short-term and intermediate-term bonds, issued by governments or companies. The Fund may also hold other assets including bonds of other types from any issuer, cash and money market instruments. The fund manager may use derivatives to reduce risk, to manage the fund more efficiently, or to generate additional capital or income for the fund.",,5,,,0.5,,,0,,Lipper Global,Bond USD Short Term,ISIN Code,IE0004858563,0.9,8/24/2020,,AssetManager,Bloomberg Barclays 1-3 Y Government TR,11024877,,18.37,1,,,,,,,172018714.7
IE00BYXPSP02,Cash & Cash Equivalent,Cash & Cash Equivalent,USD   SHORT TERM ,BBgBarc US Aggregate 1-3 Yr TR,iShares $ Treasury Bd 1-3yr UCITS ETF USD Acc,Bond,United States of America,ICVC,Ireland,IRL,4/13/2017,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury 1-3 Year Bond Index. The Index measures the performance of US Dollar denominated fixed rate US Treasury bonds that have a remaining maturity of between one and three years.",,,,,,,,,,Lipper Global,Bond USD Government Short Term,ISIN Code,IE00BYXPSP02,0.07,1/27/2021,0,AssetManager,ICE U.S. Treasury 1-3 Year TR Index,11055616,.IDCOT1TR,5.4199,1,,,,,,,3304051697
LU0546920488,Fixed Income,IG Corporates,USD CORPORATE BOND, BBgBarc US Corp IG TR,NN (L) US Credit P Cap USD,Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,5/2/2011,USDollar,NN Investment Partners B.V.,"Anil Katarya, Travis King",Brown Brothers Harriman (Luxembourg) SCA,1,,,Retained,,,,"The fund primarily invests in a diversified portfolio of corporate bonds of high quality denominated in US dollars (with a rating of AAA to BBB-). The fund may invest a limited percentage in corporate bonds with a lower credit quality (with a quality rating lower than BBB-) and therefore with greater credit risk. Measured over a period of several years, we aim to beat the performance of the benchmark Bloomberg Barclays US Aggregate Corporate.",,3,,,0.75,0.75,,,0,Lipper Global,Bond USD Corporates,ISIN Code,LU0546920488,0.95,12/31/2020,,AssetManager,Index is not available on Lipper Database,11000000,,1730.68,1,,,,,,,156872909.7
IE00BD82R525,Fixed Income,IG Corporates,USD CORPORATE BOND, BBgBarc US Corp IG TR,PineBridge USD Investment Grade Credit A,Bond,Global,Unit trust,Ireland,IRL,10/17/2016,USDollar,PineBridge Investments Ireland Limited,,State Street Custodial Services (Ireland) Ltd,1000,,250,Retained,,,,The Fund aims to priovide long term growht by investing the majority of its assets in investment grade bonds issued in US dollars.,,5,,,,0.65,,3,,Lipper Global,Bond USD,ISIN Code,IE00BD82R525,1.3,9/24/2018,,AssetManager,Bloomberg Barclays U.S. Credit TR,11025048,.BCUSCRUSD,,,,,,,,,
LU1162497827,Fixed Income,IG Corporates,USD CORPORATE BOND, BBgBarc US Corp IG TR,Amundi Funds Pioneer US Corporate Bond - A USD (C),Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,1/22/2015,USDollar,Amundi Luxembourg SA,DUENSING Jonathan,Societe Generale Luxembourg SA,0.001,0.001,0.001,Retained,,,,"The sub-fund invests mainly in investment-grade debt instruments (bonds and money market instruments) of companies in the United States. Investments may include mortgage-backed securities (MBS) and asset-backed securities (ABS). Specifically, the sub-fund invests at least 67% of net assets in investment-grade debt instruments that are denominated in US dollar, and at least 50% of net assets in investment-grade debt instruments issued by companies that are headquartered, or do substantial business, in the United States. While complying with the above policies, the sub-fund may also invest in other types of debt instruments, in deposits, and in the following up to these percentages of net assets: convertible bonds: 25%, equities and equity-linked instruments: 10% , UCITS/UCIs: 10% The sub-funds exposure to contingent convertible bonds is limited to 10% of net assets.",,4.5,,,0.9,,,,0,Lipper Global,Bond USD Corporates,ISIN Code,LU1162497827,1.15,12/31/2020,,AssetManager,Index is not available on Lipper Database,11000000,,141.17,1,,,,,,,1788000
IE00B1W4R501,Fixed Income,IG Corporates,USD CORPORATE BOND, BBgBarc US Corp IG TR,iShares US Corporate Bond Index Inst USD Acc,Bond,United States of America,ICVC,Ireland,IRL,11/27/2007,USDollar,BlackRock Asset Management Ireland Limited,Darren Wills,JP Morgan Bank (Ireland) plc,500000,,50000,Retained,,,,"The investment policy of the Fund is to invest in a wide range of US Dollar denominated securities with a diversified spread of sovereign and multinational issuers, high quality financial institutions and corporate issuers. This Fund's investments will normally be listed or traded on Regulated Markets in the US and the European Union, but may alternatively be listed or traded on other Regulated Markets as set out in Appendix I of the Prospectus.",,3,,,,0.15,,2,,Lipper Global,Bond USD Corporates,ISIN Code,IE00B1W4R501,0.15,2/12/2021,,AssetManager,FTSE EuroDollar Bond TR,11057193,.SBEID,19.584,1,,,,,,,
LU0210532957,Fixed Income,IG Corporates,USD DIVERSIFIED BOND, BBgBarc US Aggregate Total Return Value Unhedged,JPM US Aggregate Bond A Acc USD,Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,3/31/2005,USDollar,JPMorgan Asset Management (Europe) SARL,"Richard Figuly, Justin Rucker",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,,,,"To achieve a return in excess of US bond markets by investing primarily in US investment grade debt securities. At least 67% of the Sub-Funds assets (excluding cash and cash equivalents) will be invested in investment grade debt securities issued or guaranteed by the US government or its agencies and by companies that are domiciled in, or carrying out the main part of their economic activity in, the US. These may include mortgagebacked securities.",,3,3,,0.9,0.9,,0.5,0.5,Lipper Global,Bond USD,ISIN Code,LU0210532957,1.11,7/29/2020,,AssetManager,Bloomberg Barclays U.S. Aggregate Bond TR,11025566,.BCUSA,19.05,0,18.95,0,,,19.62,0,562706765.6
IE00B19Z3K33,Fixed Income,IG Corporates,USD DIVERSIFIED BOND, BBgBarc US Aggregate Total Return Value Unhedged,Legg Mason WA US Core Bond A Acc USD,Bond,United States of America,OEIC,Ireland,IRL,5/9/2007,USDollar,Franklin Templeton International Services SARL,"Frederick  Marki, John  Bellows, Julien A. Scholnick, Mark Lindbloom, S. Kenneth Leech",Bank of New York Mellon SA/NV (Dublin Branch),1000,,,Retained,,,,"The Fund seeks to maximise total return through income and capital appreciation by investing at least 75% of its Net Asset Value in debt securities across the major fixed-income sectors that are listed or traded in developed and emerging market countries, denominated in U.S dollars and rated at least BBB by S&P, or equivalent quality. At least two thirds of the Fund will be invested in securities of issuers registered in the U.S. or that conduct a significant portion of their business activities in the U.S.",,5,,,0.95,,,,0,Lipper Global,Bond USD,ISIN Code,IE00B19Z3K33,1.21,2/17/2021,,AssetManager,Bloomberg Barclays U.S. Aggregate Bond TR,11025566,.BCUSA,153.83,1,,,,,,,42879300
IE00B11XZ988,Fixed Income,International Developed,USD DIVERSIFIED BOND, BBgBarc US Aggregate Total Return Value Unhedged,PIMCO GIS Total Return Bond E Cl USD Acc,Bond,Global,OEIC,Ireland,IRL,3/31/2006,USDollar,PIMCO Global Advisors Ireland Ltd,"Scott A. Mather, Mark Kiesel, Mohit Mittal",State Street Custodial Services (Ireland) Ltd,1000,,,Retained,,,,"The investment objective of the Fund is to seek to maximise total return, consistent with preservation of capital and prudent investment management. The Fund invests at least two-thirds of its assets in a diversified portfolio of Fixed Income Instruments of varying maturities. The average portfolio duration of this Fund will normally vary within two years (plus or minus) of the Bloomberg Barclays US Aggregate Index. The Bloomberg Barclays US Aggregate Index represents securities that are SEC-registered, taxable, and dollar denominated.",,5,,,,1.4,,,0,Lipper Global,Bond USD,ISIN Code,IE00B11XZ988,1.4,2/17/2021,,AssetManager,Bloomberg Barclays U.S. Aggregate Bond TR,11025566,.BCUSA,29.99,1,,,,,,,537523924.5
IE00BYXYYM63,Fixed Income,IG Corporates,USD DIVERSIFIED BOND, BBgBarc US Aggregate Total Return Value Unhedged,iShares US Aggregate Bond UCITS ETF USD (Acc),Bond,United States of America,ICVC,Ireland,IRL,4/13/2017,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays US Aggregate Bond Index. The Index is a broad-based benchmark that measures the investment grade, U.S. dollar-denominated fixed rate taxable bond market, including Treasuries, government-related and corporate securities, mortgage-backed securities (agency fixed-rate and hybrid adjustable-rate mortgage pass throughs), asset-backed securities, and commercial mortgage-backed securities.",,,,,,,,,,Lipper Global,Bond USD,ISIN Code,IE00BYXYYM63,0.25,1/27/2021,,AssetManager,Bloomberg Barclays U.S. Aggregate Bond TR,11025566,.BCUSA,5.8621,1,,,,,,,1926411252
LU1319654866,Fixed Income,High Yield,USD HIGH YIELD BOND, BBgBarc US Corporate High Yield TR,AXA WF US Short Duration High Yield Bonds A USD C,Bond,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,6/10/2016,USDollar,AXA Funds Management SA (Luxembourg),"Peter Vecchio, Carl Whitbeck",State Street Bank International GmbH (Luxembourg Branch),0,0,0,Retained,,,,"To seek high income, in USD, through exposure to short duration securities of US domiciled companies. The Sub-Fund invests in Sub-Investment Grade corporate bonds (high yield bonds) with short duration issued by US companies. The Sub-Fund invests mainly in Sub-Investment Grade fixed income debt securities that are issued primarily by companies domiciled in the United States. For Sub-Funds investments, the anticipated average expected time to maturity or redemption is three years or less, although the investment manager may vary this approach if market conditions warrant.",,3,,,1,,,,0,Lipper Global,Bond USD High Yield,ISIN Code,LU1319654866,1.24,12/31/2020,,AssetManager,Index is not provided by Management Company,11000006,,117.97,1,,,,,,,351231200
IE00B19Z4V13,Fixed Income,High Yield,USD HIGH YIELD BOND, BBgBarc US Corporate High Yield TR,Legg Mason WA US High Yield A Acc USD,Bond,United States of America,OEIC,Ireland,IRL,5/9/2007,USDollar,Franklin Templeton International Services SARL,"Michael C. Buchanan, Walter  Kilcullen",Bank of New York Mellon SA/NV (Dublin Branch),1000,,,Retained,,,,The Fund seeks to provide a high level of income by investing at least 70% of its Net Asset Value in high-yielding debt securities of U.S. issuers the face value of which are in U.S. dollars. Such investment may be directly in such shares or indirectly via investments in other investment funds. At least 95% of the Funds Net Asset Value will be in U.S. Dollars assets. The bonds purchased by the fund may be issued by corporations and governments.,,5,,,1.15,,,,0,Lipper Global,Bond USD High Yield,ISIN Code,IE00B19Z4V13,1.41,2/17/2021,,AssetManager,Bloomberg Barclays US High Yield 2% Issuer Cap TR,11028722,,200.68,1,,,,,,,46791900
LU1134226965,Fixed Income,High Yield,USD HIGH YIELD BOND, BBgBarc US Corporate High Yield TR,MS INVF US Dollar High Yield Bond A USD,Bond,Global,LU - SICAV - Part 1,Luxembourg,LUX,12/2/2014,USDollar,MSIM Fund Management (Ireland) Ltd,"Richard Lindquist, Jack Cimarosa",JP Morgan Bank Luxembourg SA,0,,,Retained,,,,"The objective of the Fund is to provide an attractive rate of total return, measured in US Dollars. The Fund will seek to achieve its investment objective by investing primarily in high yield and unrated US Dollar denominated Fixed Income Securities, including without limitation those issued by governments, agencies and corporations located in emerging markets and for the avoidance of doubt and subject to applicable law, including asset-backed securities and loan participations and loan assignments, to the extent that these instruments are securitised.",,4,,,,1.25,,,0,Lipper Global,Bond USD High Yield,ISIN Code,LU1134226965,1.49,12/31/2020,,AssetManager,Bloomberg Barclays U.S. Corporate High Yield TR,11000481,,36.12,0,36.12,0,,,36.12,0,7565100
IE00BYXYYL56,Fixed Income,High Yield,USD HIGH YIELD BOND, BBgBarc US Corporate High Yield TR,iShares $ HY Corp Bond UCITS ETF USD Acc,Bond,United States of America,ICVC,Ireland,IRL,4/13/2017,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx USD Liquid High Yield Capped Index.",,,,,,,,,,Lipper Global,Bond USD High Yield,ISIN Code,IE00BYXYYL56,0.5,1/27/2021,,AssetManager,Markit iBoxx USD Liquid High Yield TR,11041465,.IBLUS0004,6.204,1,,,,,,,1708937511
IE00BZ17CN18,Fixed Income,High Yield,USD HIGH YIELD BOND, BBgBarc US Corporate High Yield TR,iShares $ Short Dur HY Corp Bd UCITS ETF USD Acc,Bond,United States of America,ICVC,Ireland,IRL,6/29/2018,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx USD Liquid High Yield 0-5 Capped Index. The Index measures the performance of US Dollar denominated short duration high yield corporate debt. The Benchmark Index offers exposure to liquid high yield fixed rate corporate bonds maturing between 0 and 5 years and is rebalanced on a monthly basis.",,,,,,,,,,Lipper Global,Bond USD High Yield,ISIN Code,IE00BZ17CN18,0.45,2/3/2021,,AssetManager,Markit iBoxx USD Liquid HY 0-5 Capped TR USD,11057661,.IBXXSHY1,5.7875,1,,,,,,,545201271.2
LU0978624194,Fixed Income,High Yield,GLOBAL HIGH YIELD BOND, ICE BofA Gbl HY Constnd TR USD,Janus Henderson HF Global HiYld Bond A2 USD,Bond,Global,LU - SICAV - Part 1,Luxembourg,LUX,11/19/2013,USDollar,Henderson Management SA,"Seth Meyer, Thomas Ross",BNP Paribas Securities Services Luxembourg Branch,2500,500,500,Retained,,,,"The Fund will invest at least 80% of its net assets in sub investment grade corporate debt securities of issuers with a credit rating equivalent to BB+ or lower. The Fund can invest in fixed and variable rate and index related securities issued by corporate, government, supranational institutions and local and regional agencies. The Fund may invest up to 20% of its net assets in contingent convertible bonds.",,5,,,1.5,0.75,,1,,Lipper Global,Bond Global High Yield USD,ISIN Code,LU0978624194,1.18,9/30/2020,,AssetManager,ICE BofA Global HY Constrained TR USD,11029961,,164.83,0,,,,,,,292296592.8
LU0654559516,Fixed Income,High Yield,GLOBAL HIGH YIELD BOND, ICE BofA Gbl HY Constnd TR USD,AB SICAV I-Short Duration High Yield Pf A2 USD,Bond,Global,LU - SICAV - Part 1,Luxembourg,LUX,7/29/2011,USDollar,AllianceBernstein (Luxembourg) S.a r.l.,"Gershon Distenfeld, Jackie Pincus, Will Smith",Brown Brothers Harriman (Luxembourg) SCA,2000,,750,Retained,,,,"The investment objective of the Portfolio is to achieve high risk-adjusted returns through investing in a diversified portfolio of high yielding securities and related derivatives, with an average portfolio duration of less than four years. In seeking to achieve this objective, under normal market conditions, the Portfolio expects to maintain at least 80% of its exposure to global high-yielding corporate issuers. In addition, the Portfolio intends to invest in high yielding government, supranational and government-sponsored issuers from any geography, including developed and emerging markets.",,5,,,,1.1,,,0,Lipper Global,Bond Global High Yield USD,ISIN Code,LU0654559516,1.32,5/31/2021,,AssetManager,Bloomberg Barclays Global High Yield Corp TR USDH,11047534,,22.61,1,,,,,,,420487156
IE00BYWZ0440,Fixed Income,High Yield,GLOBAL HIGH YIELD BOND, ICE BofA Gbl HY Constnd TR USD,iShares Global HY Corp Bond UCITS ETF USD Acc,Bond,Global,ICVC,Ireland,IRL,10/19/2017,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Markit iBoxx Global Developed Markets Liquid High Yield Capped Index. The Index measures the performance of fixed rate, high yield corporate bonds across global developed markets.",,,,,,,,,,Lipper Global,Bond Global High Yield USD,ISIN Code,IE00BYWZ0440,0.5,1/27/2021,,AssetManager,Markit iBoxx Global Dev Mkt High Yield Capped TR,11045771,.IBXXGH11,5.8867,1,,,,,,,280336077.4
IE00BK716859,Fixed Income,Emerging Market,GLOBAL EMERGING MARKETS BOND, JPM EMBI Global Diversified TR,Barings EM Sovereign Debt A1 USD Acc,Bond,Global Emerging Markets,OEIC,Ireland,IRL,11/15/2019,USDollar,Baring International Fund Managers (Ireland) Ltd,"Cem Karacadag, Ricardo Adrogue",HSBC Ltd,1000,,,Retained,,,,"The investment objective of the Fund is to seek maximum total return, consistent with preservation of capital and prudent investment management, through high current income generation and, where appropriate, capital appreciation. The fund will invest principally in a diversified portfolio of debt securities which are issued by or economically tied to emerging market countries, including debt instruments issued by corporate issuers that are economically tied to emerging market countries.",,5,,,,1.3,,,0,Lipper Global,Bond Emerging Markets Global HC,ISIN Code,IE00BK716859,1.39,7/24/2020,,AssetManager,JP Morgan EMBI Global Diversified TR,11025309,.JPMEGD,109.1,1,,,,,,,1863310.85
IE00B11XYX59,Fixed Income,Emerging Market,GLOBAL EMERGING MARKETS BOND, JPM EMBI Global Diversified TR,PIMCO GIS Emerging Mkts Bd E Cl USD Acc,Bond,Global Emerging Markets,OEIC,Ireland,IRL,3/31/2006,USDollar,PIMCO Global Advisors Ireland Ltd,"Yacov Arnopolin, Pramol Dhawan, Javier Romo",State Street Custodial Services (Ireland) Ltd,1000,,,Retained,,,,"The Fund is to seek to maximise total return, consistent with prudent investment management. The Fund seeks to achieve its investment objective by investing at least 80% of its assets in Fixed Income Instruments of issuers that economically are tied to countries with emerging securities markets. Such securities may be denominated in non-U.S. currencies and the USD. The Fund will consider an issuer to be economically tied to a country with an emerging securities market if (1) the issuer maintains its registered office in the country or (2) the issuer has predominant operations in the country.",,5,,,,1.69,,,0,Lipper Global,Bond Emerging Markets Global HC,ISIN Code,IE00B11XYX59,1.69,2/17/2021,,AssetManager,JP Morgan EMBI Global,11008472,.JPMEG,48.59,1,,,,,,,177810568.2
IE00BFNXVX02,Fixed Income,Emerging Market,GLOBAL EMERGING MARKETS BOND, JPM EMBI Global Diversified TR,Muzinich EmergingMarketsShortDurationHdg USD Acc R,Bond,Global Emerging Markets,Unit trust,Ireland,IRL,6/24/2014,USDollar,Muzinich & Co (Ireland) Limited,Warren Hyland,State Street Custodial Services (Ireland) Ltd,1000,,,Retained,,,,"The Fund seeks to protect capital and generate attractive returns which exceed those available from similar duration Benchmark Government Bonds through prudent investments primarily in short duration emerging market debt. The Fund will primarily purchase fixed and/or floating rate corporate and government debt instruments i.e. bonds and existing corporate loan receivables (which are collateralised, freely transferable, traded on a regulated market and unlisted), subject to a 9.9% limit in corporate loans, with relatively short durations, specifically investing in select short maturity and callable issues and floating rate instruments.",,1,,,1.1,1.1,,2,,Lipper Global,Bond Emerging Markets Global HC,ISIN Code,IE00BFNXVX02,1.29,2/18/2021,,AssetManager,Index is not provided by Management Company,11000006,,121.78,1,,,,,,,53717690.12
